Employee_ID,Age,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Gender_Male,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Assistant,Job_Role_Executive,Job_Role_Manager,Overtime_Yes,Attrition_Yes
27,46,5,17541,20,20,8,4,4,5,3,63,7,50,1,2,1,1,16,3,True,True,False,False,False,True,False,False,False,False,False,True
28,47,3,13878,22,26,1,4,3,2,3,90,9,54,18,1,3,4,12,2,True,False,False,False,False,False,False,False,False,False,False,True
29,35,3,14087,65,16,8,3,1,5,2,52,8,38,14,2,2,3,41,3,False,False,False,False,True,False,False,False,False,True,False,False
30,34,2,16667,25,25,6,2,3,2,3,89,1,48,1,4,4,4,29,4,False,True,False,False,False,False,False,False,True,False,True,False
31,22,1,5776,77,25,4,4,3,5,3,91,4,58,3,4,3,2,23,4,True,False,True,False,False,False,True,False,False,False,True,False
32,56,5,12311,71,6,13,3,2,3,3,76,7,55,0,2,1,3,21,2,True,False,True,False,False,False,False,False,True,False,True,True
33,26,3,10697,26,13,14,7,2,1,4,75,8,51,18,4,4,1,16,4,False,False,False,False,True,False,False,False,False,False,True,False
34,40,3,17629,87,4,12,3,2,2,3,43,7,35,9,1,1,2,48,3,True,False,True,False,True,False,False,False,False,False,True,False
35,28,5,11386,16,23,8,7,1,3,4,27,3,33,0,4,2,3,41,4,True,False,False,True,False,False,False,False,False,True,False,False
36,58,1,11044,22,14,3,5,1,1,4,1,4,40,19,4,2,2,45,3,True,False,False,False,False,True,False,True,False,False,True,False
37,37,2,12615,25,1,13,4,1,2,3,56,7,58,14,1,4,1,26,3,False,True,False,False,False,False,False,True,False,False,True,True
38,23,3,18034,67,28,4,3,3,3,2,56,8,39,3,2,1,3,37,4,True,True,False,True,False,False,False,False,False,True,False,False
39,44,2,8060,24,20,6,3,2,3,3,33,7,32,6,4,1,4,22,2,False,True,False,False,False,True,False,False,True,False,False,True
40,33,4,13900,99,5,11,3,4,3,1,86,6,30,6,2,1,4,10,1,True,False,False,False,False,False,False,True,False,False,True,False
41,28,1,8581,98,8,7,8,3,4,2,57,9,41,17,1,1,1,7,2,False,True,False,False,False,False,True,False,False,True,False,False
42,45,4,5014,22,12,4,3,1,5,4,51,9,52,12,2,2,3,9,1,False,False,True,False,False,False,False,False,False,True,False,False
43,21,4,15997,50,2,4,8,4,1,4,28,7,44,9,2,1,1,25,2,True,False,True,False,True,False,False,True,False,False,True,False
44,39,4,13635,90,12,7,9,4,5,2,34,8,44,7,3,2,1,46,3,False,False,False,False,True,False,False,False,True,False,False,False
45,47,1,16648,28,5,6,5,2,5,2,74,6,50,9,3,1,2,15,3,True,False,False,False,False,False,True,False,False,True,True,False
46,26,1,10148,68,22,13,9,4,5,3,47,1,43,13,4,1,4,13,4,False,True,False,True,False,False,False,False,False,False,True,False
47,27,5,17022,99,5,11,6,1,3,4,32,1,55,13,3,3,1,42,1,True,False,False,False,False,True,False,False,True,False,False,False
48,54,2,8919,35,13,8,9,2,5,1,74,6,36,19,3,3,2,46,1,True,False,False,False,False,False,False,False,True,False,True,False
49,33,2,18886,64,9,1,2,4,4,3,72,2,46,10,3,1,1,26,4,False,False,True,False,True,False,False,True,False,False,True,True
50,36,5,9638,53,10,10,7,2,2,2,77,8,53,5,2,2,1,21,2,True,False,True,True,False,False,False,True,False,False,False,True
51,55,5,7651,34,1,13,2,4,3,4,8,1,48,0,2,1,1,23,4,True,True,False,False,False,False,True,False,False,False,False,False
52,59,4,3609,21,3,11,0,3,1,2,47,2,36,18,3,3,4,44,2,False,False,False,False,True,False,False,False,False,True,False,True
53,23,5,10940,23,18,7,9,3,2,2,66,8,57,6,1,1,3,28,4,True,False,False,False,False,False,True,True,False,False,False,False
54,21,3,13348,15,12,12,4,1,2,2,92,6,32,17,3,3,4,38,1,True,False,True,False,False,False,False,True,False,False,True,True
55,25,2,6866,40,29,7,1,3,2,3,82,2,59,2,1,1,2,12,1,False,False,False,False,False,True,False,False,True,False,False,False
56,23,5,19755,52,3,11,9,3,5,1,35,2,32,19,2,4,3,24,2,False,False,True,False,True,False,False,True,False,False,False,False
57,48,3,19999,52,26,7,5,3,5,1,95,7,55,10,1,1,2,13,1,True,True,False,False,True,False,False,True,False,False,True,True
58,37,3,5253,75,25,7,9,4,3,4,70,5,54,4,2,2,1,40,1,True,False,True,False,False,False,False,True,False,False,True,False
59,45,3,7942,58,29,10,8,4,5,2,91,5,58,18,1,3,3,48,1,False,False,False,True,False,False,False,True,False,False,True,False
60,53,3,15330,58,9,14,0,2,5,1,43,8,47,1,2,4,2,2,1,False,True,False,False,False,True,False,False,True,False,True,False
61,29,4,3864,88,26,10,3,4,5,2,81,7,59,3,2,3,1,39,3,True,False,True,False,True,False,False,False,False,False,False,False
62,55,3,4268,76,2,8,0,3,3,4,59,9,49,9,3,3,2,12,4,False,False,True,False,False,True,False,False,False,False,False,False
63,33,4,10454,20,3,9,0,4,3,2,62,4,51,1,4,2,2,39,4,True,True,False,False,True,False,False,False,False,True,True,True
64,50,4,16666,31,14,9,7,1,4,1,4,4,43,7,4,1,4,14,3,True,True,False,False,False,True,False,True,False,False,True,True
65,34,3,15370,65,4,2,1,2,4,2,86,2,32,0,2,2,1,30,1,True,False,True,False,False,False,True,False,True,False,True,True
66,27,2,8229,52,25,13,0,2,4,1,85,3,57,5,3,1,4,41,4,True,False,False,False,True,False,False,False,False,True,True,False
67,33,3,19309,38,19,13,7,4,4,4,89,1,55,10,4,4,3,43,4,True,False,True,False,False,True,False,False,False,True,False,False
68,42,3,7054,65,13,7,3,3,2,2,75,1,59,9,4,2,1,48,4,False,True,False,True,False,False,False,False,False,False,True,True
69,59,3,3935,24,7,7,2,2,2,1,39,7,55,12,3,2,4,19,2,False,False,True,False,False,False,True,False,True,False,False,False
70,40,2,15172,86,12,4,3,1,4,4,18,5,36,0,3,3,4,31,3,False,True,False,False,False,False,True,False,True,False,True,False
71,35,1,13530,35,3,9,4,1,4,2,46,3,36,1,4,2,3,43,2,False,True,False,True,False,False,False,False,True,False,False,False
72,37,1,18560,84,23,8,0,2,1,4,64,7,34,2,4,1,2,43,2,True,False,False,False,False,True,False,False,False,False,False,False
73,43,4,19156,99,23,12,0,3,2,1,66,2,32,8,1,2,2,25,3,True,True,False,False,False,False,False,False,False,False,False,False
74,45,4,19709,71,9,1,2,3,1,2,90,3,47,4,1,2,2,4,4,True,True,False,True,False,False,False,False,False,False,False,False
75,44,2,12726,53,2,2,5,4,1,2,17,1,44,9,2,4,3,13,2,True,False,False,False,False,True,False,False,False,False,True,False
76,48,5,10774,47,29,13,0,4,5,2,49,8,49,9,4,1,4,36,4,False,True,False,True,False,False,False,False,False,False,False,False
77,34,1,4985,73,22,13,1,2,3,4,29,2,43,11,3,3,1,42,2,True,False,False,True,False,False,False,True,False,False,True,False
78,20,4,17252,32,9,2,6,4,2,4,65,7,58,17,3,1,3,37,4,True,False,False,False,True,False,False,True,False,False,False,False
79,44,1,7603,70,12,12,0,4,4,1,4,9,33,0,4,4,2,3,1,False,True,False,False,False,True,False,False,True,False,False,False
80,26,2,18960,71,12,12,6,4,4,3,92,6,56,2,2,1,2,16,1,False,True,False,False,False,False,False,False,False,True,True,False
81,28,2,12462,90,15,11,3,1,3,2,96,2,53,4,3,1,1,26,1,False,False,True,False,True,False,False,False,True,False,True,False
82,43,5,17166,62,2,8,9,4,2,2,41,2,37,16,4,2,3,40,3,False,False,False,True,False,False,False,False,False,True,False,False
83,20,5,10754,56,18,1,5,2,4,1,83,9,58,7,4,2,2,39,1,True,False,True,True,False,False,False,False,False,False,False,False
84,27,2,17246,41,13,4,7,3,4,2,93,8,50,16,2,1,3,19,2,True,True,False,True,False,False,False,False,False,True,True,False
85,43,4,7078,88,14,10,8,4,5,4,4,9,42,8,4,1,4,46,4,False,False,True,False,False,True,False,False,True,False,False,False
86,30,1,15853,66,5,12,5,3,1,4,49,4,51,5,3,3,3,15,4,True,False,False,False,False,True,False,False,True,False,True,False
87,36,3,7042,56,26,5,8,4,4,2,84,4,37,16,1,4,4,32,4,True,False,True,False,True,False,False,False,False,True,True,False
88,27,5,19284,46,10,9,3,2,2,2,57,2,44,7,2,2,1,49,4,True,False,False,False,False,False,False,True,False,False,True,False
89,54,3,17389,40,12,7,5,1,3,4,78,1,46,6,4,2,4,21,2,False,True,False,False,True,False,False,False,False,False,False,False
90,54,4,5575,39,10,8,7,2,5,2,83,4,34,6,2,2,4,1,4,True,True,False,False,False,False,True,False,False,False,False,False
91,52,5,9754,89,24,14,8,1,2,4,7,8,49,14,4,2,1,6,2,False,False,False,True,False,False,False,False,True,False,True,False
92,24,3,4986,37,11,11,2,4,5,3,30,2,33,6,1,1,2,27,2,True,True,False,True,False,False,False,True,False,False,True,False
93,58,4,18470,71,25,9,1,4,1,3,11,8,40,7,2,1,1,23,4,True,True,False,True,False,False,False,False,False,True,True,True
94,47,1,8968,66,2,13,5,1,4,2,20,1,47,8,4,3,3,47,4,True,True,False,False,True,False,False,False,False,False,True,False
95,26,4,10493,45,5,7,3,2,2,2,93,1,39,14,1,2,1,31,4,False,True,False,False,True,False,False,True,False,False,False,True
96,28,5,7103,78,7,5,0,2,3,2,61,4,46,1,3,2,3,12,2,True,False,False,True,False,False,False,False,False,False,True,False
97,27,2,5076,85,6,13,7,1,1,4,90,7,59,6,4,1,2,21,3,False,False,True,False,True,False,False,True,False,False,False,False
98,31,1,5994,47,22,5,8,4,1,3,89,9,44,14,1,3,3,2,2,False,False,True,False,False,True,False,True,False,False,True,False
99,53,3,6744,99,23,10,8,1,5,3,32,5,35,17,1,1,1,5,3,False,True,False,False,False,True,False,False,True,False,False,True
100,52,5,17466,16,3,11,1,4,1,1,25,2,52,17,2,2,1,9,4,True,False,True,False,True,False,False,False,False,False,False,False
101,42,2,17523,32,13,6,8,1,2,1,89,7,50,9,4,2,2,20,2,True,False,True,True,False,False,False,False,False,True,False,False
102,43,4,8594,61,3,5,6,4,5,2,99,2,45,17,3,4,1,46,4,True,True,False,False,True,False,False,False,True,False,False,True
103,56,2,10531,47,26,13,4,1,1,4,39,9,44,0,4,4,2,18,3,True,True,False,False,True,False,False,False,True,False,False,False
104,54,5,10371,98,25,12,6,3,3,2,64,9,37,6,1,4,2,22,3,False,False,True,False,True,False,False,False,False,True,True,False
105,59,5,17547,49,24,11,8,4,2,3,58,3,38,2,3,3,1,8,2,False,False,False,False,False,False,True,False,True,False,True,False
106,41,2,6144,65,21,9,7,2,3,2,14,8,40,13,1,1,4,34,2,False,True,False,False,False,True,False,True,False,False,False,False
107,46,4,16990,32,6,3,5,1,3,2,0,4,56,11,2,2,3,9,2,True,False,False,False,False,False,False,True,False,False,True,False
108,54,2,17083,86,11,3,3,2,5,3,10,3,31,13,4,2,4,7,2,False,False,True,False,False,False,False,False,False,False,True,False
109,20,5,19626,44,28,7,0,1,4,3,54,1,56,3,1,3,2,30,1,True,True,False,False,False,False,True,False,False,False,True,False
110,54,5,10954,58,26,7,5,2,5,3,1,5,42,12,1,2,3,18,1,False,False,False,False,True,False,False,False,False,True,True,False
111,56,3,10269,67,17,6,2,2,2,3,64,4,33,15,4,2,4,27,4,True,True,False,False,False,False,True,False,False,False,True,False
112,33,3,10130,24,10,3,5,1,2,1,94,1,56,15,3,1,1,16,3,True,False,True,False,False,False,True,True,False,False,True,True
113,22,1,9828,66,12,14,5,1,5,4,43,8,38,4,1,4,4,21,3,False,False,False,True,False,False,False,False,False,True,True,False
114,20,5,11844,63,17,13,3,2,4,4,15,8,34,19,4,4,3,5,4,False,False,True,False,False,True,False,False,False,True,False,False
115,24,3,17220,25,4,7,1,2,5,3,21,8,48,5,2,3,3,29,4,False,False,True,False,False,False,False,False,False,False,True,True
116,45,2,9331,80,2,5,8,2,2,4,17,3,51,5,2,4,3,47,4,False,True,False,False,True,False,False,True,False,False,True,False
117,33,4,16397,72,11,7,1,4,4,4,46,6,32,17,4,4,3,37,1,True,False,False,False,False,False,False,False,False,True,True,True
118,58,2,13291,50,7,2,2,4,2,4,80,7,59,5,1,3,4,43,4,False,False,True,False,False,False,False,True,False,False,False,False
119,46,4,13164,47,2,6,9,3,4,4,29,9,50,6,4,3,1,22,3,False,False,True,False,False,True,False,True,False,False,False,False
120,28,3,13450,61,26,14,0,4,4,3,9,5,32,15,4,4,1,14,4,False,False,False,False,False,False,False,True,False,False,True,False
121,34,1,5035,27,18,8,6,4,5,2,98,9,35,8,1,1,3,19,2,True,False,True,False,False,False,False,False,False,False,False,False
122,34,2,14463,54,21,1,0,1,5,2,57,6,57,12,3,3,1,35,3,True,False,True,False,False,False,True,False,True,False,False,False
123,45,2,10977,82,4,4,8,3,5,2,61,4,39,11,3,2,4,24,3,False,False,False,False,False,True,False,False,True,False,True,False
124,32,2,15182,56,8,11,0,3,4,1,84,1,34,18,2,3,1,42,3,True,False,False,True,False,False,False,False,False,True,False,False
125,51,4,3298,33,20,1,4,4,4,4,79,1,59,0,3,2,2,6,1,False,False,False,False,True,False,False,True,False,False,True,False
126,58,3,3923,96,14,14,6,1,2,3,5,5,54,7,4,3,1,3,1,True,False,False,False,False,False,False,False,False,False,False,False
127,51,2,16331,33,12,1,2,1,3,3,66,3,32,3,1,3,3,34,3,True,True,False,False,True,False,False,True,False,False,True,False
128,23,2,9578,72,22,10,8,3,5,1,40,5,51,18,2,4,1,45,2,True,False,False,True,False,False,False,True,False,False,False,True
129,49,1,7875,37,21,12,7,1,2,3,42,5,53,4,3,4,1,2,3,True,True,False,False,True,False,False,False,False,False,True,False
130,56,1,15254,68,27,14,2,2,2,2,84,1,36,16,4,4,1,15,1,False,True,False,True,False,False,False,False,True,False,True,False
131,42,3,13905,94,18,14,4,4,1,1,76,8,51,2,2,1,1,37,2,False,True,False,False,False,False,True,True,False,False,False,False
132,58,3,16353,79,11,11,6,2,5,3,17,5,59,18,1,4,2,15,3,False,False,True,False,False,False,False,True,False,False,True,False
133,34,5,18882,26,29,8,3,3,2,1,57,5,47,0,3,4,4,32,1,True,True,False,True,False,False,False,False,True,False,True,False
134,48,1,12663,38,28,7,4,3,1,1,59,9,52,0,4,3,3,21,2,False,True,False,False,True,False,False,False,False,False,False,False
135,55,5,3941,48,8,12,2,1,5,3,87,8,37,19,1,3,3,17,4,False,False,True,False,False,False,False,False,False,True,True,False
136,32,4,4907,67,2,10,8,1,4,2,26,1,30,8,4,1,1,34,4,False,False,True,False,False,False,True,False,True,False,True,False
137,51,5,7837,22,25,13,9,3,1,3,67,3,54,4,4,2,4,32,3,True,False,True,False,False,False,False,False,False,True,False,False
138,26,2,16680,32,15,1,8,3,4,4,21,7,33,6,4,3,1,47,4,True,False,False,True,False,False,False,False,False,True,True,False
139,41,5,8696,71,9,11,6,2,3,4,23,1,53,5,1,3,2,23,1,True,False,True,False,False,False,True,False,True,False,False,False
140,47,3,19226,19,19,14,9,2,3,3,39,1,55,16,2,2,4,35,2,False,False,True,False,True,False,False,True,False,False,True,False
141,21,4,16543,40,20,13,1,1,3,2,73,5,36,16,4,1,4,37,3,False,True,False,False,False,False,True,False,False,True,False,True
142,25,2,15615,44,8,2,6,2,3,4,65,9,43,12,2,3,4,43,2,False,False,True,False,False,False,True,False,False,True,False,False
143,47,5,4466,68,25,4,6,1,2,4,39,6,42,11,2,4,4,41,2,True,False,False,False,False,True,False,False,False,False,True,False
144,47,4,3375,27,19,1,4,1,3,3,5,2,39,3,3,1,1,37,2,True,False,True,False,False,False,True,True,False,False,False,True
145,39,4,3262,97,5,3,8,4,2,3,17,9,52,7,3,2,2,33,1,False,False,False,False,False,False,True,False,False,True,True,False
146,49,2,14580,43,11,8,2,1,2,3,80,6,47,4,2,2,4,25,3,True,False,True,False,False,False,False,False,False,False,True,False
147,30,5,13136,17,15,8,3,2,5,1,86,5,30,4,3,4,3,46,4,True,False,True,False,True,False,False,True,False,False,False,False
148,47,4,10833,72,8,8,0,3,2,1,29,5,33,12,3,4,3,37,2,True,False,True,False,False,False,False,False,True,False,True,True
149,44,4,4893,90,19,6,5,3,2,1,20,3,57,10,2,4,2,40,2,True,False,True,False,False,False,False,False,True,False,True,False
150,58,1,11106,16,23,6,3,2,3,3,61,6,45,7,1,1,3,21,2,False,False,False,True,False,False,False,False,False,False,False,False
151,52,4,14826,89,27,5,0,3,2,2,9,4,45,7,3,2,1,46,1,True,False,False,False,False,False,False,False,True,False,True,False
152,20,1,4652,42,8,13,1,1,4,4,12,2,47,0,3,4,1,48,4,True,True,False,False,False,True,False,False,False,True,True,False
153,46,5,3599,96,26,9,2,3,3,1,75,3,37,12,1,4,2,38,2,True,False,False,False,False,True,False,True,False,False,False,False
154,32,5,11792,91,27,4,8,2,1,2,8,9,39,4,1,2,4,40,1,True,False,True,True,False,False,False,False,False,True,True,False
155,22,5,6637,90,19,10,7,3,3,3,67,9,45,7,1,3,3,34,1,False,True,False,False,True,False,False,False,False,True,True,False
156,58,3,13355,16,18,12,6,1,2,1,38,6,52,16,2,1,3,19,2,False,True,False,False,True,False,False,False,True,False,False,False
157,25,5,18989,21,10,12,3,1,4,3,23,9,53,12,1,3,2,27,2,True,True,False,False,False,False,False,False,False,True,True,False
158,27,4,12290,40,29,12,0,2,3,2,33,4,40,8,2,4,2,9,1,True,False,True,False,False,False,False,False,True,False,True,True
159,46,2,8599,90,7,7,7,2,4,1,60,5,35,1,4,1,3,5,1,True,False,False,False,False,False,False,True,False,False,False,False
160,28,1,17342,30,28,1,3,2,1,1,40,6,30,18,4,3,4,5,2,True,False,True,False,True,False,False,True,False,False,True,True
161,56,3,16945,37,9,9,2,4,1,1,4,9,59,19,1,2,2,25,1,True,True,False,False,False,False,True,False,False,True,True,False
162,52,5,13762,54,1,7,8,4,5,1,78,5,58,16,1,4,1,26,1,True,False,True,False,False,True,False,False,False,False,False,False
163,43,5,17312,74,19,10,9,1,5,2,49,8,58,6,4,1,3,19,2,False,False,True,False,False,False,True,False,True,False,False,True
164,34,2,10382,87,5,12,3,4,3,1,3,1,41,2,2,1,2,30,2,True,False,False,False,False,False,True,False,True,False,True,False
165,51,2,11982,46,19,9,3,4,5,4,50,5,54,18,2,1,2,36,3,False,False,False,False,True,False,False,False,False,True,True,False
166,51,3,10707,29,1,7,8,3,4,4,51,1,35,18,1,1,2,48,4,False,True,False,False,False,False,True,False,True,False,False,False
167,43,1,7633,27,15,2,1,4,5,3,38,6,57,8,1,4,3,48,2,True,False,True,True,False,False,False,False,True,False,True,True
168,31,5,12269,19,16,6,4,3,4,1,7,7,42,9,1,4,1,16,2,False,False,True,False,False,False,False,False,False,False,True,False
169,58,3,16778,89,23,10,3,2,5,4,44,5,55,13,4,2,1,7,2,False,False,False,True,False,False,False,False,False,False,True,True
170,21,4,10008,88,7,12,8,3,5,4,87,1,46,17,3,2,3,18,4,False,False,True,False,False,True,False,False,False,True,False,False
171,22,4,18523,66,26,11,4,3,5,4,27,6,30,14,1,2,2,21,3,False,False,True,False,False,False,False,False,False,False,True,False
172,56,3,6618,91,12,4,8,2,2,2,26,5,37,0,2,3,3,31,1,False,False,True,False,False,False,True,False,False,True,True,False
173,36,5,3272,55,8,3,8,2,2,1,64,6,51,5,3,2,3,1,4,False,False,False,False,False,True,False,True,False,False,False,True
174,21,3,16007,67,5,2,1,1,5,2,33,7,37,14,2,4,2,3,2,True,True,False,False,False,False,False,False,False,True,False,False
175,21,5,5547,64,10,6,8,1,4,2,80,7,53,5,3,3,3,31,2,False,True,False,False,False,False,True,True,False,False,False,False
176,47,2,6164,29,28,8,2,1,3,4,61,2,40,17,4,4,4,25,3,False,False,True,True,False,False,False,False,False,True,True,False
177,42,3,17414,21,21,6,3,1,1,4,61,3,43,0,3,3,1,8,3,False,True,False,False,False,False,False,False,True,False,True,True
178,56,5,17327,54,5,9,0,3,2,3,37,6,53,2,2,2,4,1,3,True,False,False,False,False,False,True,False,False,False,False,False
179,51,3,18576,42,17,14,0,3,5,1,25,3,39,16,3,2,4,7,1,False,False,False,True,False,False,False,True,False,False,True,True
180,52,3,3946,46,26,5,0,1,1,1,23,2,44,15,4,2,4,7,4,True,True,False,False,False,True,False,False,False,True,True,False
181,20,5,17693,29,5,2,8,4,2,4,38,4,36,7,2,3,3,8,4,False,True,False,False,False,True,False,False,False,False,True,False
182,38,5,19890,99,22,8,7,1,3,4,20,5,36,16,1,4,2,19,3,True,False,True,False,False,True,False,False,False,True,True,False
183,21,1,18540,84,15,9,4,4,4,1,93,9,39,7,3,1,3,17,1,True,True,False,False,False,True,False,False,False,False,False,False
184,45,3,9719,79,13,14,4,2,5,3,46,3,33,16,2,4,1,11,4,False,False,True,False,True,False,False,False,False,False,False,False
185,51,4,11435,18,28,10,8,3,3,4,47,3,54,8,3,2,3,47,2,False,False,True,False,False,False,False,False,False,True,True,False
186,25,3,14350,25,1,4,2,3,2,3,12,6,57,11,4,3,3,41,2,True,False,False,False,False,False,False,True,False,False,False,False
187,51,3,6590,40,11,6,2,4,5,2,2,5,47,18,2,3,3,49,2,False,False,False,False,True,False,False,True,False,False,True,False
188,23,5,13064,75,23,11,6,1,1,4,31,6,56,3,1,2,3,11,4,True,False,False,False,False,False,True,False,True,False,True,False
189,30,3,3390,51,1,10,8,3,4,2,34,7,54,10,1,3,4,38,3,True,False,False,False,False,False,True,False,False,False,False,False
190,36,3,15668,37,11,8,5,4,2,4,18,3,39,3,3,2,2,41,2,True,True,False,False,False,True,False,False,True,False,False,True
191,57,4,14569,99,18,9,1,2,4,2,13,5,48,13,4,4,1,2,3,True,False,False,True,False,False,False,False,True,False,True,False
192,43,5,16029,54,18,12,0,2,5,4,47,8,43,13,4,3,1,4,1,True,True,False,False,False,False,True,False,False,True,True,True
193,24,3,16107,91,21,5,1,3,3,3,85,4,42,5,3,1,1,28,2,False,False,False,True,False,False,False,False,False,True,True,False
194,53,2,5560,37,26,12,0,1,4,3,80,2,44,16,2,3,3,33,1,True,True,False,False,False,False,False,False,False,True,True,False
195,25,1,8867,30,16,6,9,4,1,3,67,4,45,1,2,2,1,11,3,True,False,True,True,False,False,False,False,False,False,False,False
196,41,4,18284,75,13,11,9,3,2,2,44,2,31,7,3,1,4,3,4,False,True,False,False,False,False,False,False,False,True,False,False
197,30,3,4211,82,7,4,8,2,1,3,18,3,58,3,2,2,2,40,3,True,True,False,False,True,False,False,False,False,True,True,False
198,35,2,12121,94,1,5,9,1,4,2,63,4,33,9,2,3,3,5,2,False,False,False,False,True,False,False,False,False,False,True,True
199,52,3,4539,45,26,7,7,4,3,4,65,4,50,6,2,1,3,21,2,False,True,False,False,False,True,False,False,False,False,False,False
200,28,3,11693,67,16,9,6,3,3,2,78,9,47,3,3,1,4,22,3,False,False,True,False,False,False,True,True,False,False,True,False
201,25,5,11921,39,1,10,2,4,1,4,65,6,58,15,1,3,1,37,2,True,False,True,False,False,True,False,False,False,True,False,False
202,35,5,13310,58,17,11,7,1,5,1,74,9,46,13,4,1,3,11,2,True,False,False,False,False,False,False,False,False,True,True,True
203,48,5,15744,26,6,13,1,1,5,1,44,4,39,15,1,4,3,44,1,True,False,True,False,False,True,False,False,False,True,False,False
204,22,2,7386,23,2,6,1,2,3,1,86,9,56,8,2,1,4,22,4,False,True,False,True,False,False,False,True,False,False,True,False
205,39,3,15242,26,17,14,9,1,1,2,73,9,50,3,3,1,4,41,3,True,False,True,False,False,False,False,False,False,True,True,False
206,55,1,17257,83,6,6,2,3,1,1,66,6,38,5,4,4,1,13,1,False,False,False,False,True,False,False,True,False,False,True,False
